,forrest,jenny,mrs gump,dan,bubba,Tom Hanks,Robin Wright,Sally Field,Gary Sinise,Mykelti Williamson
forrest,0.9999989,0.5120126,0.50646806,0.533002,0.43015593,0.38187167,0.32237053,0.39283225,0.52390337,0.41992843
jenny,0.5120126,1.0000019,0.35890454,0.4125753,0.41334093,0.27898997,0.3448768,0.3522674,0.28258064,0.40013617
mrs gump,0.50646806,0.35890454,0.99999964,0.33274013,0.32569224,0.18852046,0.3768224,0.42316264,0.30464455,0.35351413
dan,0.533002,0.4125753,0.33274013,1.0000005,0.5944289,0.27632695,0.18097118,0.27398807,0.40994498,0.32464224
bubba,0.43015593,0.41334093,0.32569224,0.5944289,1.0,0.3550427,0.24972859,0.32738894,0.36745176,0.44740695
Tom Hanks,0.38187167,0.27898997,0.18852046,0.27632695,0.3550427,1.0000007,0.5125987,0.5160251,0.50215626,0.5708914
Robin Wright,0.32237053,0.34487677,0.37682235,0.1809712,0.24972858,0.51259875,1.0000004,0.7544087,0.54132116,0.5910263
Sally Field,0.39283225,0.3522674,0.42316264,0.27398807,0.32738894,0.5160251,0.7544088,0.99999976,0.5631455,0.536659
Gary Sinise,0.52390337,0.28258064,0.30464455,0.40994498,0.36745176,0.50215626,0.54132116,0.5631455,0.99999976,0.54412216
Mykelti Williamson,0.41992843,0.40013614,0.35351413,0.32464218,0.44740695,0.57089144,0.5910263,0.536659,0.5441222,0.9999996
